,Winner,R_fighter,Fighter,Height,Reach,Stance,Weight,age,loss,win,draws,streak,cum_match_time,avg_cum_KD,avg_cum_Sub. att,avg_cum_Pass,avg_cum_Rev.,avg_cum_Sig. str. Hits,avg_cum_Sig. str. Attempts,avg_cum_Total str. Hits,avg_cum_Total str. Attempts,avg_cum_Td Hits,avg_cum_Td Attempts,avg_cum_Head Hits,avg_cum_Head Attempts,avg_cum_Body Hits,avg_cum_Body Attempts,avg_cum_Leg Hits,avg_cum_Leg Attempts,avg_cum_Distance Hits,avg_cum_Distance Attempts,avg_cum_Clinch Hits,avg_cum_Clinch Attempts,avg_cum_Ground Hits,avg_cum_Ground Attempts,eff_sig_str,eff_hits,eff_tds,eff_head,eff_leg,eff_body,eff_distance,eff_clinch,eff_ground,Fighter.1,Height.1,Reach.1,Stance.1,Weight.1,age.1,loss.1,win.1,draws.1,streak.1,cum_match_time.1,avg_cum_KD.1,avg_cum_Sub. att.1,avg_cum_Pass.1,avg_cum_Rev..1,avg_cum_Sig. str. Hits.1,avg_cum_Sig. str. Attempts.1,avg_cum_Total str. Hits.1,avg_cum_Total str. Attempts.1,avg_cum_Td Hits.1,avg_cum_Td Attempts.1,avg_cum_Head Hits.1,avg_cum_Head Attempts.1,avg_cum_Body Hits.1,avg_cum_Body Attempts.1,avg_cum_Leg Hits.1,avg_cum_Leg Attempts.1,avg_cum_Distance Hits.1,avg_cum_Distance Attempts.1,avg_cum_Clinch Hits.1,avg_cum_Clinch Attempts.1,avg_cum_Ground Hits.1,avg_cum_Ground Attempts.1,eff_sig_str.1,eff_hits.1,eff_tds.1,eff_head.1,eff_leg.1,eff_body.1,eff_distance.1,eff_clinch.1,eff_ground.1,WEIGHT_CLASS,title_bout,location,attendance,num_rounds,label,matches,matches.1
10,win,David Dvorak,Bruno Silva,64,65, Orthodox,135,30.02,1.0,0.0,0.0,-1.0,13.0,0.0,0.0,0.77,0.0,15.38,38.46,39.23,67.69,1.54,8.46,6.92,25.38,6.15,8.46,2.31,4.62,7.69,23.85,0.77,0.77,6.92,13.85,0.4,0.58,0.18,0.27,0.5,0.73,0.32,1.0,0.5,David Dvorak,65,68, Orthodox,125,27.79,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.67,1.33,44.67,88.67,61.33,107.33,0.0,0.67,23.33,57.33,16.0,24.67,5.33,6.67,34.0,71.33,9.33,16.0,1.33,1.33,0.5,0.57,0.0,0.41,0.8,0.65,0.48,0.58,1.0,Flyweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,1,2.0,1.0
11,win,Bea Malecki,Veronica Macedo,64,64, Southpaw,125,24.39,3.0,1.0,0.0,1.0,37.37,0.0,0.54,0.27,0.8,19.0,41.74,29.97,57.27,0.54,0.54,13.65,33.45,3.48,5.35,1.87,2.94,10.7,29.7,4.55,5.62,3.75,6.42,0.46,0.52,1.0,0.41,0.64,0.65,0.36,0.81,0.58,Bea Malecki,69,74, Orthodox,135,28.58,0.0,1.0,0.0,1.0,6.98,0.0,2.87,1.43,0.0,27.22,101.72,42.98,117.48,0.0,0.0,17.19,90.26,7.16,8.6,2.87,2.87,25.79,98.85,0.0,0.0,1.43,2.87,0.27,0.37,0.0,0.19,1.0,0.83,0.26,0.0,0.5,Women's Bantamweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,1,5.0,2.0
12,win,Israel Adesanya,Israel Adesanya,76,80, Switch,185,30.65,0.0,7.0,0.0,7.0,102.02,0.98,0.29,0.2,0.0,44.6,88.22,49.3,93.12,0.0,0.29,25.49,64.01,7.74,10.88,11.37,13.33,38.72,80.77,4.02,5.0,1.86,2.45,0.51,0.53,0.0,0.4,0.85,0.71,0.48,0.8,0.76,Yoel Romero,72,73, Southpaw,185,42.88,3.0,9.0,0.0,-2.0,166.36,0.6,0.0,0.36,0.0,37.69,75.92,50.01,89.38,1.26,3.61,23.02,55.66,6.73,10.04,7.93,10.22,27.17,60.89,4.51,6.61,6.01,8.42,0.5,0.56,0.35,0.41,0.78,0.67,0.45,0.68,0.71,Middleweight,1.0,"Las Vegas, Nevada, USA",15077.0,5,0,8.0,13.0
13,win,Weili Zhang,Weili Zhang,64,63, Switch,115,30.59,0.0,4.0,0.0,4.0,34.38,0.29,0.58,2.04,0.29,62.25,125.65,85.22,151.54,1.16,3.78,32.58,74.46,10.18,19.2,19.49,32.0,38.39,97.15,7.56,9.02,16.29,19.49,0.5,0.56,0.31,0.44,0.61,0.53,0.4,0.84,0.84,Joanna Jedrzejczyk,66,65, Orthodox,115,32.58,3.0,10.0,0.0,1.0,246.70000000000002,0.04,0.04,0.0,0.0,61.82,129.67,70.81,139.48,0.2,0.32,28.17,85.49,15.97,22.82,17.67,21.36,49.49,112.53,11.67,16.21,0.65,0.93,0.48,0.51,0.62,0.33,0.83,0.7,0.44,0.72,0.7,Women's Strawweight,1.0,"Las Vegas, Nevada, USA",15077.0,5,0,5.0,14.0
14,win,Beneil Dariush,Beneil Dariush,61,72, Southpaw,155,30.86,4.0,11.0,1.0,3.0,143.93,0.28,0.63,2.22,0.0,39.46,80.53,50.72,94.28,1.18,3.47,22.93,58.43,9.94,14.38,6.6,7.71,23.48,57.25,7.92,11.95,8.06,11.32,0.49,0.54,0.34,0.39,0.86,0.69,0.41,0.66,0.71,Drakkar Klose,69,70, Orthodox,155,32.02,1.0,5.0,0.0,3.0,90.0,0.0,0.0,0.44,0.0,39.78,75.33,61.56,100.11,1.11,3.67,19.11,51.11,11.89,13.44,8.78,10.78,23.67,55.11,12.22,14.67,3.89,5.56,0.53,0.61,0.3,0.37,0.81,0.88,0.43,0.83,0.7,Lightweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,0,17.0,7.0
15,win,Neil Magny,Neil Magny,75,80, Orthodox,170,32.62,6.0,14.0,0.0,-1.0,234.81,0.09,0.21,1.7,0.09,38.63,83.73,66.35,114.35,1.75,3.75,27.89,69.03,6.56,9.07,4.17,5.62,20.83,60.22,7.07,9.33,10.73,14.18,0.46,0.58,0.47,0.4,0.74,0.72,0.35,0.76,0.76,Jingliang Li,72,71, Orthodox,170,31.99,3.0,9.0,0.0,3.0,133.14000000000001,0.6,0.0,0.6,0.15,48.97,113.26,54.53,119.8,0.83,2.25,30.72,88.03,4.88,7.21,13.37,18.03,41.61,101.25,2.33,4.36,5.03,7.66,0.43,0.46,0.37,0.35,0.74,0.68,0.41,0.53,0.66,Welterweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,0,21.0,13.0
16,win,Alex Oliveira,Alex Oliveira,61,76, Orthodox,170,32.06,6.0,9.0,1.0,-3.0,152.23,0.33,0.46,1.31,0.07,29.04,57.41,44.08,75.67,1.91,4.86,18.06,43.49,6.77,9.13,4.2,4.8,14.12,35.41,8.21,12.22,6.7,9.79,0.51,0.58,0.39,0.42,0.88,0.74,0.4,0.67,0.68,Max Griffin,61,76, Orthodox,170,34.29,5.0,3.0,0.0,-1.0,103.2,0.39,0.39,0.58,0.19,42.15,84.98,51.74,95.83,1.26,2.33,27.81,65.7,10.56,15.02,3.78,4.26,32.36,69.96,6.59,9.88,3.2,5.14,0.5,0.54,0.54,0.42,0.89,0.7,0.46,0.67,0.62,Welterweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,0,17.0,9.0
17,win,Sean O'Malley,Jose Quinonez,68,69,,135,29.63,2.0,5.0,0.0,1.0,85.34,0.35,0.47,1.99,0.12,34.92,74.06,41.95,82.96,1.76,3.87,18.98,52.26,6.33,10.08,9.61,11.72,27.42,62.81,1.87,3.16,5.62,8.09,0.47,0.51,0.45,0.36,0.82,0.63,0.44,0.59,0.7,Sean O'Malley,61,72, Switch,135,25.39,0.0,2.0,0.0,2.0,30.0,0.0,1.0,0.33,0.33,68.0,121.0,71.67,125.33,1.0,2.0,53.33,102.33,11.67,15.67,3.0,3.0,61.33,113.67,2.33,3.0,4.33,4.33,0.56,0.57,0.5,0.52,1.0,0.74,0.54,0.78,1.0,Bantamweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,1,8.0,3.0
18,win,Mark Madsen,Austin Hubbard,61,71, Orthodox,155,28.23,1.0,1.0,0.0,1.0,30.0,0.0,0.0,1.33,0.0,31.67,76.0,60.67,119.33,1.0,1.67,13.0,47.0,7.33,16.67,11.33,12.33,27.0,70.33,0.67,1.0,4.0,4.67,0.42,0.51,0.6,0.28,0.92,0.44,0.38,0.67,0.86,Mark Madsen,68,72, Orthodox,155,35.48,0.0,1.0,0.0,1.0,1.2,0.0,0.0,8.33,0.0,183.33,241.67,200.0,258.33,8.33,16.67,183.33,241.67,0.0,0.0,0.0,0.0,0.0,16.67,8.33,8.33,175.0,216.67,0.76,0.77,0.5,0.76,0.0,0.0,0.0,1.0,0.81,Lightweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,1,3.0,2.0
19,win,Rodolfo Vieira,Rodolfo Vieira,72,73, Orthodox,185,30.47,0.0,1.0,0.0,1.0,9.43,0.0,1.06,4.24,0.0,19.09,41.36,39.24,65.75,3.18,7.42,16.97,38.18,1.06,2.12,1.06,1.06,5.3,16.97,1.06,1.06,12.73,23.33,0.46,0.6,0.43,0.44,1.0,0.5,0.31,1.0,0.55,Saparbeg Safarov,73,78, Orthodox,205,33.42,2.0,1.0,0.0,1.0,26.8,0.0,0.0,2.99,0.0,42.91,89.18,69.4,116.04,1.87,4.48,35.82,79.85,3.36,4.85,3.73,4.48,20.52,61.19,3.36,5.97,19.03,22.01,0.48,0.6,0.42,0.45,0.83,0.69,0.34,0.56,0.86,Middleweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,0,2.0,4.0
20,win,Gerald Meerschaert,Deron Winn,66,70, Orthodox,185,30.75,1.0,1.0,0.0,-1.0,30.0,0.0,0.0,0.33,0.33,66.0,140.0,79.0,155.67,2.0,6.0,50.0,121.67,13.33,15.67,2.67,2.67,49.33,117.67,13.0,18.67,3.67,3.67,0.47,0.51,0.33,0.41,1.0,0.85,0.42,0.7,1.0,Gerald Meerschaert,73,77, Southpaw,185,32.24,4.0,5.0,0.0,-1.0,76.30000000000001,0.13,1.18,2.1,0.92,27.26,64.74,43.12,84.67,1.7,4.06,21.49,57.93,4.46,5.5,1.31,1.31,18.22,51.51,4.46,6.68,4.59,6.55,0.42,0.51,0.42,0.37,1.0,0.81,0.35,0.67,0.7,Middleweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,1,3.0,10.0
21,win,Giga Chikadze,Giga Chikadze,72,74, Orthodox,145,31.55,0.0,1.0,0.0,1.0,15.0,0.0,0.0,0.67,0.67,39.33,79.33,47.33,88.67,0.67,1.33,29.33,60.67,5.33,10.67,4.67,8.0,28.67,66.0,0.0,0.0,10.67,13.33,0.5,0.53,0.5,0.48,0.58,0.5,0.43,0.0,0.8,Jamall Emmers,61,74, Orthodox,145,30.64,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.67,0.0,36.0,84.67,38.0,86.67,1.33,4.0,21.33,62.67,10.0,15.33,4.67,6.67,32.0,78.67,2.0,3.33,2.0,2.67,0.43,0.44,0.33,0.34,0.7,0.65,0.41,0.6,0.75,Featherweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,0,2.0,1.0
22,win,Danaa Batgerel,Danaa Batgerel,67,70, Orthodox,135,30.7,1.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,0.0,56.67,153.33,79.33,179.33,0.0,0.67,49.33,134.67,4.0,11.33,3.33,7.33,45.33,134.67,3.33,7.33,8.0,11.33,0.37,0.44,0.0,0.37,0.45,0.35,0.34,0.45,0.71,Guido Cannetti,66,68, Southpaw,135,40.24,3.0,2.0,0.0,-1.0,48.129999999999995,0.0,0.21,1.66,0.21,28.05,53.6,38.65,65.24,1.87,3.74,13.09,34.07,10.39,14.13,4.57,5.4,13.09,33.45,9.35,13.09,5.61,7.06,0.52,0.59,0.5,0.38,0.85,0.74,0.39,0.71,0.79,Bantamweight,0.0,"Las Vegas, Nevada, USA",15077.0,3,0,2.0,6.0
23,win,Deiveson Figueiredo,Joseph Benavidez,64,65, Southpaw,125,35.61,3.0,15.0,0.0,3.0,213.48999999999998,0.28,0.19,1.31,0.14,38.78,108.06,48.53,119.07,1.12,3.56,21.36,78.46,9.79,17.33,7.64,12.27,31.34,96.35,4.54,7.17,2.9,4.54,0.36,0.41,0.32,0.27,0.62,0.56,0.33,0.63,0.64,Deiveson Figueiredo,65,68, Orthodox,125,32.22,1.0,6.0,0.0,2.0,75.83,0.66,1.58,1.45,0.0,24.4,46.29,33.36,56.31,1.19,2.51,17.28,36.4,6.59,9.1,0.53,0.79,12.92,29.41,3.3,4.75,8.18,12.13,0.53,0.59,0.47,0.47,0.67,0.72,0.44,0.69,0.67,Flyweight,1.0,"Norfolk, Virginia, USA",7098.0,5,1,19.0,8.0
24,win,Felicia Spencer,Felicia Spencer,66,68, Orthodox,145,29.27,1.0,1.0,0.0,-1.0,18.4,0.0,0.54,0.54,0.0,32.61,63.04,48.37,80.98,0.54,5.43,18.48,44.02,4.89,9.78,9.24,9.24,17.39,41.85,5.98,9.78,9.24,11.41,0.52,0.6,0.1,0.42,1.0,0.5,0.42,0.61,0.81,Zarah Fairn,68,72, Orthodox,145,33.24,1.0,0.0,0.0,-1.0,3.95,0.0,0.0,0.0,2.53,5.06,12.66,81.01,113.92,0.0,0.0,5.06,12.66,0.0,0.0,0.0,0.0,5.06,12.66,0.0,0.0,0.0,0.0,0.4,0.71,0.0,0.4,0.0,0.0,0.4,0.0,0.0,Women's Featherweight,0.0,"Norfolk, Virginia, USA",7098.0,3,0,3.0,2.0
25,win,Magomed Ankalaev,Ion Cutelaba,73,75, Southpaw,205,26.23,3.0,4.0,0.0,1.0,57.35999999999999,0.17,0.0,0.87,0.0,52.65,133.37,54.39,135.29,1.74,2.44,37.31,112.97,11.85,16.74,3.49,3.66,28.42,97.98,16.21,23.54,8.02,11.85,0.39,0.4,0.71,0.33,0.95,0.71,0.29,0.69,0.68,Magomed Ankalaev,75,75, Orthodox,205,27.76,1.0,3.0,0.0,3.0,43.61,0.69,0.0,1.38,0.46,33.25,58.93,59.16,88.51,0.46,1.38,22.01,44.71,8.71,10.78,2.52,3.44,15.82,36.69,4.59,6.65,12.84,15.59,0.56,0.67,0.33,0.49,0.73,0.81,0.43,0.69,0.82,Light Heavyweight,0.0,"Norfolk, Virginia, USA",7098.0,3,1,8.0,5.0
26,win,Megan Anderson,Megan Anderson,72,72, Orthodox,145,30.07,2.0,2.0,0.0,1.0,23.369999999999997,0.0,0.43,0.86,0.43,17.97,38.94,33.38,56.05,0.43,0.86,12.41,30.81,5.56,8.13,0.0,0.0,10.27,27.81,3.42,5.56,4.28,5.56,0.46,0.6,0.5,0.4,0.0,0.68,0.37,0.62,0.77,Norma Dumont,67,67, Orthodox,135,29.43,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,14.2,45.45,39.77,71.02,2.84,8.52,2.84,25.57,11.36,14.2,0.0,5.68,2.84,31.25,11.36,14.2,0.0,0.0,0.31,0.56,0.33,0.11,0.0,0.8,0.09,0.8,0.0,Women's Featherweight,0.0,"Norfolk, Virginia, USA",7098.0,3,0,5.0,1.0
27,win,Grant Dawson,Darrick Minner,67,69, Orthodox,145,29.86,0.0,0.0,0.0,0.0,6.63,0.0,3.02,0.0,1.51,6.03,10.56,39.22,43.74,1.51,1.51,1.51,4.52,1.51,1.51,3.02,4.52,3.02,7.54,1.51,1.51,1.51,1.51,0.57,0.9,1.0,0.33,0.67,1.0,0.4,1.0,1.0,Grant Dawson,61,72, Switch,145,26.04,0.0,2.0,0.0,2.0,22.45,0.0,0.89,4.01,0.0,37.42,81.96,53.45,102.0,4.01,9.35,25.39,65.48,6.24,9.8,5.79,6.68,19.15,51.22,7.13,11.14,11.14,19.6,0.46,0.52,0.43,0.39,0.87,0.64,0.37,0.64,0.57,Featherweight,0.0,"Norfolk, Virginia, USA",7098.0,3,1,1.0,3.0
28,win,Kyler Phillips,Gabriel Silva,66,71, Orthodox,135,25.53,1.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.67,0.67,5.33,10.67,38.67,50.67,0.67,4.0,4.67,9.33,0.0,0.67,0.67,0.67,4.0,8.0,1.33,2.67,0.0,0.0,0.5,0.76,0.17,0.5,1.0,0.0,0.5,0.5,0.0,Kyler Phillips,68,72, Orthodox,135,24.73,0.0,0.0,0.0,0.0,15.0,0.0,0.67,2.67,0.0,59.33,112.0,74.67,130.0,1.33,2.67,44.0,92.67,8.67,12.67,6.67,6.67,38.67,82.67,7.33,10.0,13.33,19.33,0.53,0.57,0.5,0.47,1.0,0.68,0.47,0.73,0.69,Bantamweight,0.0,"Norfolk, Virginia, USA",7098.0,3,1,2.0,1.0
29,win,Brendan Allen,Tom Breese,75,73, Southpaw,185,28.45,1.0,4.0,0.0,1.0,43.14,0.7,0.23,0.7,0.23,38.48,77.19,51.69,91.79,0.0,1.16,25.73,59.11,10.2,15.07,2.55,3.01,29.44,63.98,4.87,6.26,4.17,6.95,0.5,0.56,0.0,0.44,0.85,0.68,0.46,0.78,0.6,Brendan Allen,74,75, Orthodox,185,24.19,0.0,1.0,0.0,1.0,8.63,0.0,4.63,5.79,2.32,11.59,25.49,26.65,47.51,2.32,3.48,8.11,22.02,1.16,1.16,2.32,2.32,5.79,16.22,1.16,1.16,4.63,8.11,0.45,0.56,0.67,0.37,1.0,1.0,0.36,1.0,0.57,Middleweight,0.0,"Norfolk, Virginia, USA",7098.0,3,1,6.0,2.0
