,index,Winner,R_fighter,B_fighter,WEIGHT_CLASS,METHOD,DETAIL,title_bout,date,location,attendance,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter.1,KD.1,Sig. str. %.1,Td %.1,Sub. att.1,Pass.1,Rev..1,Sig. str. Hits.1,Sig. str. Attempts.1,Total str. Hits.1,Total str. Attempts.1,Td Hits.1,Td Attempts.1,Head Hits.1,Head Attempts.1,Body Hits.1,Body Attempts.1,Leg Hits.1,Leg Attempts.1,Distance Hits.1,Distance Attempts.1,Clinch Hits.1,Clinch Attempts.1,Ground Hits.1,Ground Attempts.1,rounds,time,format,referee,url,label,match_time,DOB,Height,Reach,Stance,Weight,DOB.1,Height.1,Reach.1,Stance.1,Weight.1
10,10,win,David Dvorak,Bruno Silva,Flyweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Bruno Silva,0,0.46,0.27,0,2,0,45,97,60,112,3,11,25,69,12,17,8,11,35,82,8,10,2,5,David Dvorak,0,0.5,0.0,0,1,2,67,133,92,161,0,1,35,86,24,37,8,10,51,107,14,24,2,2,3,00:05:00,3 Rnd (5-5-5),Julio Catarino,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,15.0,16-03-1990,64,65, Orthodox,135,05-06-1992,65,68, Orthodox,125
11,11,win,Bea Malecki,Veronica Macedo,Women's Bantamweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Veronica Macedo,0,0.36,0.0,0,0,0,93,258,106,271,0,9,67,213,14,30,12,15,90,246,3,12,0,0,Bea Malecki,0,0.52,0.0,0,2,0,130,247,190,326,0,0,92,191,34,50,4,6,107,214,11,13,12,20,3,00:05:00,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,15.0,30-10-1995,64,64, Southpaw,125,23-08-1991,69,74, Orthodox,135
12,12,win,Israel Adesanya,Yoel Romero,Middleweight,U-DEC,,1.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Israel Adesanya,0,0.36,0.0,0,0,0,48,132,48,132,0,0,14,81,9,22,25,29,48,132,0,0,0,0,Yoel Romero,0,0.44,0.0,0,0,0,40,89,40,89,0,3,20,58,7,13,13,18,35,82,5,7,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,25.0,22-07-1989,76,80, Switch,185,30-04-1977,72,73, Southpaw,185
13,13,win,Weili Zhang,Joanna Jedrzejczyk,Women's Strawweight,S-DEC,,1.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Weili Zhang,0,0.4,0.12,0,0,0,165,408,170,413,1,8,96,305,11,22,58,81,158,393,7,15,0,0,Joanna Jedrzejczyk,0,0.51,0.0,0,0,0,186,360,196,370,0,0,96,230,32,47,58,83,171,342,15,18,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Keith Peterson,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,25.0,13-08-1989,64,63, Switch,115,18-08-1987,66,65, Orthodox,115
14,14,win,Beneil Dariush,Drakkar Klose,Lightweight,KO/TKO,Punch,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Beneil Dariush,1,0.6,0.33,2,1,0,12,20,17,28,1,3,8,16,3,3,1,1,12,20,0,0,0,0,Drakkar Klose,0,0.6,0.0,0,0,0,15,25,27,37,0,0,12,22,0,0,3,3,13,22,2,3,0,0,2,00:01:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,6.0,06-05-1989,61,72, Southpaw,155,09-03-1988,69,70, Orthodox,155
15,15,win,Neil Magny,Jingliang Li,Welterweight,U-DEC,,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Neil Magny,0,0.53,0.57,0,2,0,74,139,123,188,4,7,56,118,12,15,6,6,34,96,18,20,22,23,Jingliang Li,0,0.25,0.66,0,0,0,16,62,16,65,2,3,11,50,1,3,4,9,13,53,3,9,0,0,3,00:05:00,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,03-08-1987,75,80, Orthodox,170,20-03-1988,72,71, Orthodox,170
16,16,win,Alex Oliveira,Max Griffin,Welterweight,S-DEC,,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Alex Oliveira,0,0.51,0.2,0,2,0,40,77,61,98,1,5,21,56,11,13,8,8,35,67,3,8,2,2,Max Griffin,0,0.46,0.66,0,2,1,23,50,62,96,2,3,17,40,4,8,2,2,20,47,3,3,0,0,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,21-02-1988,61,76, Orthodox,170,29-11-1985,61,76, Orthodox,170
17,17,win,Sean O'Malley,Jose Quinonez,Bantamweight,KO/TKO,Punches,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Sean O'Malley,0,0.81,0.0,0,0,0,18,22,18,22,0,0,9,11,6,7,3,4,13,17,0,0,5,5,Jose Quinonez,0,0.0,0.0,0,0,0,0,11,0,11,0,0,0,7,0,1,0,3,0,11,0,0,0,0,1,00:02:02,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,2.03,24-10-1994,61,72, Switch,135,28-07-1990,68,69,,135
18,18,win,Mark Madsen,Austin Hubbard,Lightweight,U-DEC,,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Mark Madsen,0,0.25,0.66,0,3,0,15,58,20,65,8,12,14,57,0,0,1,1,5,42,3,5,7,11,Austin Hubbard,0,0.54,0.0,0,0,0,41,75,45,79,0,0,25,48,8,14,8,13,37,67,4,8,0,0,3,00:05:00,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,23-09-1984,68,72, Orthodox,155,22-12-1991,61,71, Orthodox,155
19,19,win,Rodolfo Vieira,Saparbeg Safarov,Middleweight,SUB,Arm Triangle,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Rodolfo Vieira,0,0.5,1.0,1,2,0,5,10,10,15,2,2,5,10,0,0,0,0,0,3,0,0,5,7,Saparbeg Safarov,0,0.5,0.0,0,0,0,5,10,7,12,0,0,2,7,1,1,2,2,5,10,0,0,0,0,1,00:02:58,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,2.97,25-09-1989,72,73, Orthodox,185,14-10-1986,73,78, Orthodox,205
20,20,win,Gerald Meerschaert,Deron Winn,Middleweight,SUB,Rear Naked Choke,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Gerald Meerschaert,1,0.45,1.0,1,1,0,86,187,86,188,1,1,66,166,20,21,0,0,81,177,5,10,0,0,Deron Winn,0,0.47,0.5,0,0,0,53,111,53,111,1,2,37,93,11,13,5,5,47,103,6,8,0,0,3,00:02:13,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,12.22,18-12-1987,73,77, Southpaw,185,13-06-1989,66,70, Orthodox,185
21,21,win,Giga Chikadze,Jamall Emmers,Featherweight,S-DEC,,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Giga Chikadze,0,0.31,0.0,0,0,1,38,122,40,125,0,0,19,88,10,23,9,11,37,120,0,1,1,1,Jamall Emmers,0,0.42,0.33,0,1,0,54,127,57,130,2,6,32,94,15,23,7,10,48,118,3,5,3,4,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,25-08-1988,72,74, Orthodox,145,24-07-1989,61,74, Orthodox,145
22,22,win,Danaa Batgerel,Guido Cannetti,Bantamweight,KO/TKO,Punch,0.0,07-03-2020,"Las Vegas, Nevada, USA",15077.0,Danaa Batgerel,1,0.51,0.0,0,0,0,17,33,17,33,0,0,16,29,0,2,1,2,12,27,0,1,5,5,Guido Cannetti,0,0.47,0.0,0,0,0,11,23,11,23,0,0,0,7,3,6,8,10,9,21,2,2,0,0,1,00:03:01,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,3.02,04-07-1989,67,70, Orthodox,135,19-12-1979,66,68, Southpaw,135
23,23,win,Deiveson Figueiredo,Joseph Benavidez,Flyweight,KO/TKO,Punch,1.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Joseph Benavidez,0,0.48,0.0,0,0,0,46,94,46,94,0,2,28,63,8,13,10,18,36,78,10,16,0,0,Deiveson Figueiredo,1,0.51,1.0,1,0,0,25,49,25,49,1,1,18,39,7,10,0,0,20,44,2,2,3,3,2,00:01:54,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,6.9,31-07-1984,64,65, Southpaw,125,18-12-1987,65,68, Orthodox,125
24,24,win,Felicia Spencer,Zarah Fairn,Women's Featherweight,KO/TKO,Punches,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Felicia Spencer,0,0.62,0.5,0,2,0,40,64,68,98,1,2,38,61,1,1,1,2,9,24,1,1,30,39,Zarah Fairn,0,0.46,0.0,0,0,0,13,28,14,29,0,0,12,27,1,1,0,0,12,26,1,2,0,0,1,00:03:37,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,3.62,29-11-1990,66,68, Orthodox,145,12-12-1986,68,72, Orthodox,145
25,25,win,Magomed Ankalaev,Ion Cutelaba,Light Heavyweight,KO/TKO,Punches,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Ion Cutelaba,0,0.45,0.0,0,0,0,5,11,5,11,0,0,3,8,0,1,2,2,5,11,0,0,0,0,Magomed Ankalaev,0,0.66,0.0,0,0,0,8,12,8,12,0,0,6,10,1,1,1,1,8,12,0,0,0,0,1,00:00:38,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,0.63,14-12-1993,73,75, Southpaw,205,02-06-1992,75,75, Orthodox,205
26,26,win,Megan Anderson,Norma Dumont,Women's Featherweight,KO/TKO,Punch,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Megan Anderson,1,0.5,0.0,0,0,1,7,14,32,39,0,1,6,12,1,2,0,0,5,11,2,2,0,1,Norma Dumont,0,0.31,0.33,0,0,0,5,16,14,25,1,3,1,9,4,5,0,2,1,11,4,5,0,0,1,00:03:31,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,3.52,11-02-1990,72,72, Orthodox,145,01-10-1990,67,67, Orthodox,135
27,27,win,Grant Dawson,Darrick Minner,Featherweight,SUB,Rear Naked Choke,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Grant Dawson,0,0.68,0.66,2,6,0,15,22,42,52,2,3,14,21,1,1,0,0,1,2,0,0,14,20,Darrick Minner,0,0.57,1.0,2,0,1,4,7,26,29,1,1,1,3,1,1,2,3,2,5,1,1,1,1,2,00:01:38,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,6.63,20-02-1994,61,72, Switch,145,28-04-1990,67,69, Orthodox,145
28,28,win,Kyler Phillips,Gabriel Silva,Bantamweight,U-DEC,,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Gabriel Silva,0,0.31,0.33,1,0,0,31,97,43,112,2,6,22,85,6,9,3,3,27,89,1,3,3,5,Kyler Phillips,0,0.52,0.5,1,4,0,89,168,112,195,2,4,66,139,13,19,10,10,58,124,11,15,20,29,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,15.0,26-08-1994,66,71, Orthodox,135,12-06-1995,68,72, Orthodox,135
29,29,win,Brendan Allen,Tom Breese,Middleweight,KO/TKO,Punches,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Brendan Allen,0,0.68,0.0,0,2,0,20,29,38,52,0,1,17,26,3,3,0,0,2,3,2,3,16,23,Tom Breese,0,0.8,0.0,0,0,0,4,5,5,6,0,1,0,0,4,5,0,0,0,1,4,4,0,0,1,00:04:47,3 Rnd (5-5-5),Bill Bookwalter,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,4.78,28-12-1995,74,75, Orthodox,185,26-09-1991,75,73, Southpaw,185
30,30,win,Marcin Tybura,Serghei Spivac,Heavyweight,U-DEC,,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Marcin Tybura,0,0.4,0.25,0,3,0,43,106,116,199,2,8,36,90,7,16,0,0,15,63,5,8,23,35,Serghei Spivac,0,0.31,0.0,0,0,0,26,83,40,101,0,1,23,80,3,3,0,0,20,74,6,9,0,0,3,00:05:00,3 Rnd (5-5-5),Bill Bookwalter,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,09-11-1985,75,78, Orthodox,249,24-01-1995,75,78, Orthodox,260
31,31,win,Luis Pena,Steve Garcia,Lightweight,U-DEC,,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Luis Pena,0,0.64,0.0,1,3,0,27,42,58,95,0,1,24,38,1,2,2,2,6,15,2,3,19,24,Steve Garcia,0,0.53,1.0,1,0,0,21,39,98,153,1,1,15,32,2,3,4,4,14,27,1,1,6,11,3,00:05:00,3 Rnd (5-5-5),Mike King,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,05-07-1993,75,75, Southpaw,155,22-05-1992,72,75, Southpaw,155
32,32,win,Jordan Griffin,TJ Brown,Featherweight,SUB,Guillotine Choke,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Jordan Griffin,0,0.65,0.0,3,0,0,15,23,20,28,0,1,13,21,2,2,0,0,9,17,3,3,3,3,TJ Brown,0,0.68,1.0,0,4,0,32,47,91,119,7,7,26,39,6,7,0,1,9,22,10,10,13,15,2,00:03:38,3 Rnd (5-5-5),Mike King,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,8.63,28-02-1990,61,73, Southpaw,145,22-05-1990,69,72, Switch,145
33,33,win,Spike Carlyle,Aalon Cruz,Featherweight,KO/TKO,Punches,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Aalon Cruz,0,0.16,0.0,0,0,0,2,12,2,12,0,1,2,4,0,4,0,4,2,12,0,0,0,0,Spike Carlyle,0,0.68,0.0,0,1,0,20,29,29,38,0,0,19,27,0,1,1,1,2,6,4,5,14,18,1,00:01:25,3 Rnd (5-5-5),Scott Howard,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,1.42,20-09-1989,72,78, Switch,145,06-05-1993,68,71, Switch,145
34,34,win,Sean Brady,Ismail Naurdiev,Welterweight,U-DEC,,0.0,29-02-2020,"Norfolk, Virginia, USA",7098.0,Sean Brady,0,0.51,0.44,1,6,0,47,91,125,191,4,9,30,71,3,3,14,17,32,73,1,1,14,17,Ismail Naurdiev,0,0.42,0.0,0,0,0,37,87,38,88,0,1,16,64,10,10,11,13,33,79,4,8,0,0,3,00:05:00,3 Rnd (5-5-5),Scott Howard,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,23-11-1992,61,72, Orthodox,170,18-08-1996,61,74, Orthodox,170
35,35,win,Dan Hooker,Paul Felder,Lightweight,S-DEC,,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Paul Felder,0,0.47,0.0,0,0,0,110,230,119,243,0,1,64,170,19,26,27,34,105,218,5,12,0,0,Dan Hooker,0,0.55,0.2,0,1,0,122,221,133,234,1,5,72,161,10,13,40,47,120,217,2,4,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,25.0,25-04-1984,61,70, Orthodox,155,13-02-1990,72,75, Switch,155
36,36,win,Jimmy Crute,Michal Oleksiejczuk,Light Heavyweight,SUB,Kimura,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Jimmy Crute,0,0.25,0.8,1,4,0,2,8,13,23,8,10,2,7,0,1,0,0,2,6,0,2,0,0,Michal Oleksiejczuk,0,0.5,0.0,0,0,0,3,6,7,10,0,0,3,6,0,0,0,0,3,6,0,0,0,0,1,00:03:29,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,3.48,04-03-1996,74,74, Orthodox,205,22-02-1995,72,74, Southpaw,205
37,37,win,Xiaonan Yan,Karolina Kowalkiewicz,Women's Strawweight,U-DEC,,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Karolina Kowalkiewicz,0,0.44,0.0,1,0,0,38,85,51,103,0,1,19,55,7,14,12,16,35,79,3,6,0,0,Xiaonan Yan,0,0.52,0.83,0,3,0,93,178,157,254,5,6,59,138,20,23,14,17,73,151,7,10,13,17,3,00:05:00,3 Rnd (5-5-5),Mark Craig,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,15.0,15-10-1985,63,64, Orthodox,115,16-06-1989,65,63, Orthodox,115
38,38,win,Marcos Rogerio de Lima,Ben Sosoli,Heavyweight,KO/TKO,Punch,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Ben Sosoli,0,0.29,0.0,0,0,0,5,17,5,17,0,0,4,16,1,1,0,0,5,17,0,0,0,0,Marcos Rogerio de Lima,1,0.55,0.0,0,0,0,19,34,19,34,0,0,15,30,2,2,2,2,18,33,0,0,1,1,1,00:01:28,3 Rnd (5-5-5),Neil Swailes,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,1.47,10-12-1989,72,72, Southpaw,265,25-06-1985,73,75, Orthodox,253
39,39,win,Brad Riddell,Magomed Mustafaev,Lightweight,S-DEC,,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Brad Riddell,1,0.52,1.0,0,2,0,38,72,60,97,1,1,21,49,12,17,5,6,20,45,3,3,15,24,Magomed Mustafaev,0,0.6,0.72,0,0,0,28,46,36,56,8,11,10,23,7,11,11,12,12,27,8,10,8,9,3,00:05:00,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,30-09-1991,67,71, Orthodox,155,02-08-1988,68,71, Orthodox,155
40,40,win,Zubaira Tukhugov,Kevin Aguilar,Featherweight,KO/TKO,Punches,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Kevin Aguilar,0,0.32,0.0,0,0,0,9,28,9,28,0,0,4,22,3,4,2,2,9,28,0,0,0,0,Zubaira Tukhugov,2,0.77,0.0,0,0,0,28,36,28,37,0,0,26,34,2,2,0,0,15,22,0,0,13,14,1,00:03:21,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,3.35,07-09-1988,67,73, Orthodox,145,15-01-1991,68,68, Orthodox,145
41,41,win,Jalin Turner,Josh Culibao,Lightweight,KO/TKO,Punches,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Jalin Turner,0,0.6,0.0,3,4,0,55,91,90,129,0,1,38,65,17,25,0,1,14,37,9,15,32,39,Josh Culibao,0,0.42,0.0,0,0,0,12,28,12,30,0,3,7,21,4,6,1,1,9,23,3,5,0,0,2,00:03:01,3 Rnd (5-5-5),Mark Craig,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,8.02,18-05-1995,75,77, Southpaw,155,24-05-1994,61,73, Orthodox,155
42,42,win,Jake Matthews,Emil Meek,Welterweight,U-DEC,,0.0,22-02-2020,"Auckland, New Zealand",10025.0,Jake Matthews,1,0.45,0.57,0,3,0,33,73,71,112,4,7,32,70,1,3,0,0,26,62,4,5,3,6,Emil Meek,0,0.42,0.0,0,0,0,50,118,85,162,0,1,35,95,10,12,5,11,19,78,21,29,10,11,3,00:05:00,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,19-08-1994,61,73, Orthodox,170,20-08-1988,61,74, Switch,170
